Category: All categories

Region,xxx: (2016)
Bihar,100
Chandigarh,83
Andaman and Nicobar Islands,77
Madhya Pradesh,73
Gujarat,72
Assam,71
West Bengal,68
Uttar Pradesh,64
Delhi,63
Rajasthan,58
Maharashtra,58
Daman and Diu,53
Uttarakhand,51
Jammu and Kashmir,49
Himachal Pradesh,46
Punjab,42
Jharkhand,42
Dadra and Nagar Haveli,41
Odisha,40
Chhattisgarh,39
Karnataka,37
Telangana,37
Sikkim,35
Haryana,35
Nagaland,33
Arunachal Pradesh,30
Manipur,29
Tripura,28
Tamil Nadu,26
Mizoram,25
Meghalaya,25
Andhra Pradesh,25
Kerala,24
Goa,19
Puducherry,11
