Category: All categories

Region,xxx: (2015)
Andaman and Nicobar Islands,100
Delhi,96
West Bengal,88
Maharashtra,87
Gujarat,86
Chandigarh,85
Bihar,83
Uttar Pradesh,78
Daman and Diu,73
Madhya Pradesh,72
Rajasthan,71
Jammu and Kashmir,69
Manipur,67
Assam,62
Karnataka,48
Punjab,43
Dadra and Nagar Haveli,42
Jharkhand,39
Chhattisgarh,39
Tamil Nadu,36
Himachal Pradesh,34
Uttarakhand,31
Kerala,30
Tripura,28
Mizoram,28
Andhra Pradesh,27
Odisha,27
Sikkim,26
Haryana,25
Meghalaya,22
Nagaland,21
Goa,18
Puducherry,16
