Category: All categories

Region,xxx: (2011)
Bihar,100
Punjab,96
West Bengal,92
Chandigarh,87
Delhi,87
Gujarat,79
Maharashtra,78
Uttar Pradesh,78
Assam,73
Madhya Pradesh,72
Chhattisgarh,70
Jharkhand,65
Rajasthan,65
Uttarakhand,65
Kerala,63
Tripura,53
Meghalaya,51
Karnataka,50
Tamil Nadu,48
Puducherry,47
Odisha,46
Haryana,43
Jammu and Kashmir,41
Andhra Pradesh,37
