States,Rape,Dowry_Deaths,Domestic_Violence
ANDHRA PRADESH,1635,15084,492
ARUNACHAL PRADESH,75,29,0
ASSAM,1937,8636,170
BIHAR,1128,4533,1182
CHHATTISGARH,1380,1181,109
GOA,86,40,0
GUJARAT,732,7812,29
HARYANA,971,3617,263
HIMACHAL PRADESH,250,328,0
JAMMU & KASHMIR,378,428,7
JHARKHAND,1204,2084,307
KARNATAKA,1030,3276,277
KERALA,1221,4820,21
MADHYA PRADESH,4335,4988,776
MAHARASHTRA,3063,8542,320
MANIPUR,72,29,0
MEGHALAYA,183,23,2
MIZORAM,89,5,0
NAGALAND,31,4,1
ODISHA,1832,2792,395
PUNJAB,888,1741,126
RAJASTHAN,3285,15094,453
SIKKIM,43,5,0
TAMIL NADU,923,2471,118
TRIPURA,233,827,29
UTTAR PRADESH,3050,8781,2335
UTTARAKHAND,228,435,43
WEST BENGAL,1685,18116,481
A & N ISLANDS,27,9,1
CHANDIGARH,45,92,1
D & N HAVELI,5,1,0
DAMAN & DIU,8,2,0
DELHI,1636,3033,144
LAKSHADWEEP,2,0,0
PUDUCHERRY,17,8,1
TOTAL (UTs),1740,3145,147
TOTAL STATES,31967,15721,7936
TOTAL (ALL-INDIA),33707,18866,8083
