STATE/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,871,1002,946,1016,935,1049,1070,1257,1188,1362,1442,1341,1635,1940,2132,2272
Arunachal Pradesh,33,38,31,42,35,37,48,42,59,47,42,46,75,83,71,92
Assam,817,970,1095,1171,1238,1244,1437,1438,1631,1721,1700,1716,1937,1980,1733,1779
Bihar,888,1040,985,1390,1147,1232,1555,1302,929,795,934,927,1128,1127,1041,1008
Chhattisgarh,959,992,898,969,990,995,982,978,976,1012,1053,1034,1380,1436,1560,1626
Goa,12,12,31,37,20,21,20,30,47,36,29,55,86,95,86,61
Gujarat,286,267,236,339,324,354,316,374,433,408,439,473,732,841,503,982
Haryana,398,361,353,386,461,608,488,631,603,720,733,668,971,1174,1070,1187
Himachal Pradesh,124,137,126,153,141,113,159,157,183,160,168,183,250,283,244,252
Jammu & Kashmir,169,192,211,218,201,250,288,219,237,245,277,303,378,331,296,256
Jharkhand,567,797,712,797,753,799,855,791,719,773,784,812,1204,1050,1053,1109
Karnataka,293,292,321,291,343,400,436,446,509,586,636,621,1030,1324,589,1655
Kerala,562,499,394,480,478,601,512,568,568,634,1132,1019,1221,1347,1256,1656
Madhya Pradesh,2851,2891,2738,2875,2921,2900,3010,2937,2998,3135,3406,3425,4335,5076,4391,4882
Maharashtra,1302,1352,1268,1388,1545,1500,1451,1558,1483,1599,1701,1839,3063,3438,4144,4189
Manipur,20,14,18,31,25,40,20,38,31,34,53,63,72,75,46,55
Meghalaya,26,38,40,54,63,74,82,88,112,149,130,164,183,118,93,190
Mizoram,52,76,54,20,37,72,83,77,83,92,77,103,89,120,58,23
Nagaland,17,17,14,18,17,23,13,19,22,16,23,21,31,30,35,26
Odisha,790,691,725,770,799,985,939,1113,1023,1025,1112,1458,1832,1978,2251,1983
Punjab,298,299,380,390,398,442,519,517,511,546,479,680,888,981,886,838
Rajasthan,1049,1051,1050,1038,993,1085,1238,1355,1519,1571,1800,2049,3285,3759,3644,3656
Sikkim,8,6,10,3,18,20,24,20,18,18,16,34,43,47,5,92
Tamil Nadu,423,534,557,618,571,457,523,573,596,686,677,737,923,455,421,319
Tripura,102,108,114,160,162,189,157,204,190,238,205,229,233,239,213,207
Uttar Pradesh,1958,1415,911,1397,1217,1314,1648,1871,1759,1563,2042,1963,3050,3467,3025,4816
Uttarakhand,74,89,107,115,133,147,117,87,111,121,129,148,228,270,283,336
West Bengal,709,759,1002,1475,1686,1731,2106,2263,2336,2311,2363,2046,1685,1466,1199,1110
A&N Islands,3,2,2,10,4,6,3,12,18,24,13,12,27,32,36,30
Chandigarh,18,18,18,19,33,19,22,20,29,31,27,27,45,59,72,68
D&N Haveli,6,4,1,7,5,6,7,6,4,3,4,3,5,5,8,14
Daman & Diu,0,0,5,1,2,3,1,0,1,1,1,5,8,2,5,12
Delhi UT,381,403,490,551,658,623,598,466,469,507,572,706,1636,2096,2199,2155
Lakshadweep,0,1,2,0,0,0,1,2,1,0,0,0,2,1,0,5
Puducherry,9,6,2,4,6,9,9,8,1,3,7,13,17,10,3,6
