S.No.,"Name & Address of the NGO/Organisations/Institute","Number of Parivarik Mahila LokAdalat","AmountSanctioned(in Rs)"
,Andhra Pradesh,,
1,"SatyamShivamSevaSansthan,Azamgarh, Uttar Pradesh",Six Parivarik Mahila Lok Adalat,Rs180000/-
2,"NATURE,Azamgarh, Uttar Pradesh",Six Parivarik Mahila Lok Adalat,Rs180000/-
3,"Saraswati Shishu Shiksha Niketan,Badaun, Uttar Pradesh",Eight Parivarik Mahila Lok Adalat,Rs240000/-
4,"Pushpa Mahila Kalyan Sansthan, Meerut,U.P.",Five Parivarik Mahila Lok Adalat,Rs150000/-
5,"Gramoday Jan jagriti Samiti Muzaffarpur,U.P",Five Parivarik Mahila Lok Adalat,Rs 150000
